%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1732085375829782784,4924,1732085375829090595,map,9.879997331798108,4.542434463590259,1.653679332736591,0.0,0.0,0.0,1.0
1732085375929809676,4925,1732085375929022789,map,9.786256734097117,4.6651200167893085,1.6681377257152117,0.0,0.0,0.0,1.0
1732085376029348808,4926,1732085376028792381,map,9.713131808790722,4.7234655093572675,1.6321846414935048,0.0,0.0,0.0,1.0
1732085376128197479,4927,1732085376127931118,map,9.632242132520826,4.795853547616536,1.6874854853846482,0.0,0.0,0.0,1.0
1732085376228583945,4928,1732085376228478193,map,9.579270642280054,4.823533690088911,1.7220971530311948,0.0,0.0,0.0,1.0
1732085376327627531,4929,1732085376327529430,map,9.515919193668763,4.901933734673654,1.7115797184637864,0.0,0.0,0.0,1.0
1732085376428205945,4930,1732085376427686214,map,9.538511020359596,4.869351180762194,1.6459731995930313,0.0,0.0,0.0,1.0
1732085376528465317,4931,1732085376528004407,map,9.539163107434652,4.8601567096957625,1.5371315725221362,0.0,0.0,0.0,1.0
1732085376628172485,4932,1732085376627999782,map,9.571156112443854,4.805697858908993,1.4398329158275693,0.0,0.0,0.0,1.0
1732085376728355017,4933,1732085376728264331,map,9.596453900857256,4.75635342833582,1.4692243687606799,0.0,0.0,0.0,1.0
1732085376827881307,4934,1732085376827402353,map,9.604073752569251,4.749231659959291,1.4926059776235863,0.0,0.0,0.0,1.0
1732085376929577369,4935,1732085376928978204,map,9.580927876091248,4.815233685202775,1.4547374124262722,0.0,0.0,0.0,1.0
1732085377028998528,4936,1732085377028619289,map,9.506112026908765,4.974795575228991,1.311093489889939,0.0,0.0,0.0,1.0
1732085377129258329,4937,1732085377128496885,map,9.439482134885937,5.085206716995592,1.2403086976038995,0.0,0.0,0.0,1.0
1732085377228866496,4938,1732085377228638648,map,9.351588337868874,5.2193279895107825,1.1746113581450792,0.0,0.0,0.0,1.0
1732085377327521417,4939,1732085377327111959,map,9.350896137792832,5.212279683267985,1.18068932065511,0.0,0.0,0.0,1.0
1732085377428218903,4940,1732085377427883625,map,9.38811189435936,5.1437746797273025,1.2569961625492683,0.0,0.0,0.0,1.0
1732085377528488284,4941,1732085377528065443,map,9.4063595373092,5.124754123640752,1.1977792769332003,0.0,0.0,0.0,1.0
1732085377628074790,4942,1732085377627716779,map,9.40895904439488,5.120026559142256,1.1900402663618408,0.0,0.0,0.0,1.0
1732085377729006226,4943,1732085377728641748,map,9.07744508860934,5.472351874549804,0.8081562856683242,0.0,0.0,0.0,1.0
1732085377828251598,4944,1732085377827972173,map,9.075128902770619,5.472351874549956,0.7952721109351293,0.0,0.0,0.0,1.0
1732085377929346307,4945,1732085377928752899,map,9.536820654354424,4.882088361620165,1.46819051710674,0.0,0.0,0.0,1.0
1732085378331986153,4946,1732085378331209659,map,9.743522654612137,4.493621899571677,1.489168097839284,0.0,0.0,0.0,1.0
1732085378428293667,4947,1732085378428157806,map,9.753790692209396,4.435129381284236,1.4838045074792372,0.0,0.0,0.0,1.0
1732085378528895852,4948,1732085378528442144,map,9.753067959067657,4.382676460627649,1.4068519740400935,0.0,0.0,0.0,1.0
1732085378628769645,4949,1732085378628195762,map,9.567907655969622,4.717886116839915,0.8401050856222569,0.0,0.0,0.0,1.0
1732085378727578866,4950,1732085378727463722,map,9.607744827300877,4.568218144157764,0.9658601481332256,0.0,0.0,0.0,1.0
1732085378828263820,4951,1732085378827813386,map,9.613692820356295,4.4765205713692495,1.0893083039150075,0.0,0.0,0.0,1.0
1732085378927640360,4952,1732085378927530050,map,9.62486542128026,4.392102566768162,1.102473961186575,0.0,0.0,0.0,1.0
1732085379027959682,4953,1732085379027440547,map,9.608798156232101,4.352821222819904,1.0779186515054802,0.0,0.0,0.0,1.0
1732085379127889070,4954,1732085379127518653,map,9.595442439068313,4.3061411911561915,1.0686085207936655,0.0,0.0,0.0,1.0
1732085379228501758,4955,1732085379228280544,map,9.574323282686994,4.273306925388354,1.1239872231193988,0.0,0.0,0.0,1.0
1732085379328061240,4956,1732085379327586889,map,9.596527020084856,4.165013395115969,1.2353386061254774,0.0,0.0,0.0,1.0
1732085379428263442,4957,1732085379427942514,map,9.659206172137653,3.9755346076648186,1.3403624221355885,0.0,0.0,0.0,1.0
